"행정구역","2013년03월_전월인구수_남자인구수","2013년03월_전월인구수_여자인구수","2013년03월_전월인구수_계","2013년03월_당월인구수_남자인구수","2013년03월_당월인구수_여자인구수","2013년03월_당월인구수_계","2013년03월_인구증감_남자인구수","2013년03월_인구증감_여자인구수","2013년03월_인구증감_계"
"경상남도 창녕군 (4874000000)","","","63,043","31,137","31,923","63,060","","","17"
"경상남도 고성군 (4882000000)","","","56,804","28,474","28,311","56,785","","","-19"
"경상남도 남해군 (4884000000)","","","47,854","22,798","24,960","47,758","","","-96"
"경상남도 하동군 (4885000000)","","","50,426","24,862","25,562","50,424","","","-2"
"경상남도 산청군 (4886000000)","","","35,787","17,540","18,253","35,793","","","6"
"경상남도 함양군 (4887000000)","","","40,656","19,400","21,258","40,658","","","2"
"경상남도 거창군 (4888000000)","","","63,079","30,602","32,456","63,058","","","-21"
"경상남도 합천군 (4889000000)","","","49,980","23,805","26,302","50,107","","","127"
"제주특별자치도  (5000000000)","","","585,231","293,568","292,581","586,149","","","918"
"제주특별자치도 제주시 (5011000000)","","","431,031","215,676","216,040","431,716","","","685"
"제주특별자치도 서귀포시 (5013000000)","","","154,200","77,892","76,541","154,433","","","233"
